score,num_edges,density,feedforward_ratio,mean_edge_corr,lat_window_start,lat_window_end,conn_window_start,conn_window_end,conn_bin_size,corr_thresh,min_lat_diff,session
0.24722036163260042,1,0.013888888888888888,0.0,0.5600601264112367,0.0,0.2,0.0,0.1,0.1,0.5,0.003,CIP_1
0.22568943720398002,2,0.022222222222222223,0.0,0.4576057105430509,0.0,0.2,0.05,0.25,0.2,0.4,0.005,CIP_2
0.22568943720398002,2,0.022222222222222223,0.0,0.4576057105430509,0.0,0.2,0.05,0.25,0.2,0.4,0.003,CIP_2
0.22568943720398002,2,0.022222222222222223,0.0,0.4576057105430509,0.0,0.2,0.05,0.25,0.2,0.4,0.01,CIP_2
0.22324117187103773,3,0.03333333333333333,0.0,0.40658016180472534,0.0,0.2,0.05,0.25,0.2,0.3,0.01,CIP_2
0.21172360052208508,1,0.00641025641025641,0.0,0.4679549744796106,0.0,0.2,0.05,0.15000000000000002,0.10000000000000002,0.4,0.003,V3A_2
0.21172360052208508,1,0.00641025641025641,0.0,0.4679549744796106,0.0,0.2,0.05,0.15000000000000002,0.10000000000000002,0.4,0.01,V3A_2
0.21172360052208508,1,0.00641025641025641,0.0,0.4679549744796106,0.0,0.2,0.05,0.15000000000000002,0.10000000000000002,0.4,0.005,V3A_2
0.21054238426642544,1,0.011111111111111112,0.0,0.4476936901860898,0.0,0.2,0.0,0.2,0.2,0.4,0.01,CIP_2
0.20577567252209583,2,0.022222222222222223,0.0,0.3912264949367703,0.0,0.2,0.0,0.2,0.2,0.3,0.01,CIP_2
0.2056688658965449,2,0.01282051282051282,0.0,0.4253813547523343,0.0,0.2,0.05,0.15000000000000002,0.10000000000000002,0.3,0.01,V3A_2
0.20457678222053316,4,0.02564102564102564,0.0,0.3742511719083762,0.0,0.2,0.05,0.15000000000000002,0.10000000000000002,0.3,0.005,V3A_2
0.20457678222053316,4,0.02564102564102564,0.0,0.3742511719083762,0.0,0.2,0.05,0.15000000000000002,0.10000000000000002,0.3,0.003,V3A_2
0.20248787797132206,3,0.03333333333333333,0.0,0.33740251547233974,0.0,0.2,0.05,0.15000000000000002,0.10000000000000002,0.3,0.003,CIP_2
0.20248787797132206,3,0.03333333333333333,0.0,0.33740251547233974,0.0,0.2,0.05,0.15000000000000002,0.10000000000000002,0.3,0.005,CIP_2
0.1999987532808897,1,0.00641025641025641,0.0,0.4288721503422927,0.0,0.2,0.05,0.25,0.2,0.4,0.01,V3A_2
0.1999987532808897,1,0.00641025641025641,0.0,0.4288721503422927,0.0,0.2,0.05,0.25,0.2,0.4,0.005,V3A_2
0.1999987532808897,1,0.00641025641025641,0.0,0.4288721503422927,0.0,0.2,0.05,0.25,0.2,0.4,0.003,V3A_2
0.1981065508567701,4,0.02564102564102564,0.0,0.35268373402916586,0.0,0.2,0.05,0.25,0.2,0.3,0.005,V3A_2
0.1981065508567701,4,0.02564102564102564,0.0,0.35268373402916586,0.0,0.2,0.05,0.25,0.2,0.3,0.003,V3A_2
0.19350624315124362,2,0.01282051282051282,0.0,0.3848392789346634,0.0,0.2,0.05,0.25,0.2,0.3,0.01,V3A_2
0.18615949738899207,3,0.019230769230769232,0.0,0.33701791867966,0.0,0.2,0.0,0.2,0.2,0.3,0.003,V3A_2
