file,neuron_index,TT,unit_idx,trials_pre,spikes_pre,covered_sec_pre,rate_pre_hz,trials_during,spikes_during,covered_sec_during,rate_during_hz,trials_post,spikes_post,covered_sec_post,rate_post_hz
CIP_4.mat,1,4,0,775,2618,387.5,6.756129032258064,775,3275,387.5,8.451612903225806,775,2413,190.36726666667434,12.675498483807454
CIP_4.mat,2,5,0,775,1984,387.5,5.12,775,1352,387.5,3.4890322580645163,775,2324,190.36726666667434,12.207981134010993
CIP_4.mat,3,5,1,775,2321,387.5,5.989677419354838,775,2461,387.5,6.3509677419354835,775,2003,190.36726666667434,10.52176687238555
CIP_4.mat,4,6,0,775,2561,387.5,6.609032258064516,775,2674,387.5,6.900645161290322,775,1936,190.36726666667434,10.169815609055629
CIP_4.mat,5,7,0,775,3379,387.5,8.72,775,3814,387.5,9.84258064516129,775,3224,190.36726666667434,16.935684671278587
CIP_4.mat,6,8,0,775,3847,387.5,9.927741935483871,775,5466,387.5,14.105806451612903,775,5791,190.36726666667434,30.420145760351833
V3A_1.mat,0,1,0,775,2681,387.5,6.918709677419355,775,2034,387.5,5.249032258064516,775,2735,210.57793333333,12.988065542796871
V3A_1.mat,1,1,1,775,8442,387.5,21.785806451612903,775,7515,387.5,19.393548387096775,775,7532,210.57793333333,35.768230226086295
V3A_1.mat,2,3,0,775,9712,387.5,25.063225806451612,775,16837,387.5,43.450322580645164,775,12869,210.57793333333,61.112766168282604
V3A_1.mat,3,3,1,775,4560,387.5,11.76774193548387,775,10195,387.5,26.309677419354838,775,5772,210.57793333333,27.410279456315735
V3A_1.mat,4,4,0,775,17832,387.5,46.01806451612903,775,21268,387.5,54.88516129032258,775,15212,210.57793333333,72.23928813053966
V3A_1.mat,5,4,1,775,12763,387.5,32.93677419354839,775,13913,387.5,35.90451612903226,775,9129,210.57793333333,43.35212078252016
V3A_1.mat,6,4,2,775,5547,387.5,14.314838709677419,775,7065,387.5,18.232258064516127,775,4634,210.57793333333,22.006104469952724
V3A_1.mat,7,5,0,775,20369,387.5,52.56516129032258,775,20976,387.5,54.13161290322581,775,17361,210.57793333333,82.4445359738561
V3A_1.mat,8,6,0,775,10343,387.5,26.691612903225806,775,13821,387.5,35.667096774193546,775,11314,210.57793333333,53.72832670976373
V3A_1.mat,9,6,1,775,11302,387.5,29.166451612903227,775,19009,387.5,49.05548387096774,775,14222,210.57793333333,67.53794082254373
V3A_1.mat,10,7,0,775,13780,387.5,35.561290322580646,775,19151,387.5,49.42193548387097,775,19136,210.57793333333,90.87371927859631
V3A_1.mat,11,7,1,775,8403,387.5,21.68516129032258,775,11666,387.5,30.105806451612903,775,8797,210.57793333333,41.77550734185889
V3A_1.mat,12,8,0,775,27667,387.5,71.39870967741936,775,32899,387.5,84.90064516129033,775,26543,210.57793333333,126.04834504660232
V3A_2.mat,0,1,0,775,11095,387.5,28.63225806451613,775,9913,387.5,25.581935483870968,775,3768,202.7446000000084,18.584958612953656
V3A_2.mat,1,1,1,775,1294,387.5,3.3393548387096774,775,2046,387.5,5.28,775,850,202.7446000000084,4.192466778399843
V3A_2.mat,2,1,2,775,2497,387.5,6.443870967741936,775,2764,387.5,7.1329032258064515,775,841,202.7446000000084,4.148075953687374
V3A_2.mat,3,2,0,775,7416,387.5,19.13806451612903,775,10342,387.5,26.689032258064515,775,2610,202.7446000000084,12.873339166615988
V3A_2.mat,4,2,1,775,3634,387.5,9.378064516129033,775,3124,387.5,8.061935483870968,775,507,202.7446000000084,2.5006831254690827
V3A_2.mat,5,3,0,775,9298,387.5,23.99483870967742,775,11227,387.5,28.97290322580645,775,2574,202.7446000000084,12.695775867766113
V3A_2.mat,6,3,1,775,3079,387.5,7.945806451612904,775,2666,387.5,6.88,775,562,202.7446000000084,2.771960387600837
V3A_2.mat,7,4,0,775,18601,387.5,48.00258064516129,775,15441,387.5,39.847741935483874,775,4237,202.7446000000084,20.89821381185898
V3A_2.mat,8,4,1,775,6537,387.5,16.86967741935484,775,5299,387.5,13.67483870967742,775,1388,202.7446000000084,6.846051633434096
V3A_2.mat,9,6,0,775,14554,387.5,37.55870967741936,775,11488,387.5,29.646451612903224,775,3021,202.7446000000084,14.900520161818735
V3A_2.mat,10,6,1,775,3333,387.5,8.601290322580645,775,2117,387.5,5.463225806451613,775,518,202.7446000000084,2.5549385778954337
V3A_2.mat,11,7,0,775,5026,387.5,12.970322580645162,775,6264,387.5,16.16516129032258,775,2672,202.7446000000084,13.17914262574633
V3A_2.mat,12,7,1,775,9223,387.5,23.801290322580645,775,10026,387.5,25.873548387096776,775,3177,202.7446000000084,15.66996112350153
V3A_3.mat,0,1,0,775,3484,387.5,8.990967741935483,775,4300,387.5,11.096774193548388,775,2451,192.32363333333836,12.74414359545656
V3A_3.mat,1,1,1,775,3509,387.5,9.055483870967741,775,3508,387.5,9.052903225806451,775,2215,192.32363333333836,11.517045313723493
V3A_3.mat,2,2,0,775,4009,387.5,10.345806451612903,775,5357,387.5,13.824516129032258,775,6965,192.32363333333836,36.21499801809667
V3A_3.mat,3,2,1,775,2148,387.5,5.543225806451613,775,2929,387.5,7.558709677419355,775,3867,192.32363333333836,20.106733285854965
V3A_3.mat,4,3,0,775,2616,387.5,6.750967741935484,775,4027,387.5,10.39225806451613,775,3419,192.32363333333836,17.777326378158296
V3A_3.mat,5,3,1,775,3245,387.5,8.374193548387098,775,7731,387.5,19.950967741935482,775,7339,192.32363333333836,38.15963682050416
V3A_4.mat,0,1,0,775,1652,387.5,4.263225806451613,775,2427,387.5,6.263225806451613,775,1805,190.36726666667434,9.48167209418668
V3A_4.mat,1,3,0,775,2641,387.5,6.815483870967742,775,2518,387.5,6.498064516129032,775,2011,190.36726666667434,10.563790903827929
V3A_4.mat,2,4,0,775,4448,387.5,11.478709677419355,775,6659,387.5,17.184516129032257,775,5639,190.36726666667434,29.621689162946637
V3A_4.mat,3,5,0,775,1190,387.5,3.0709677419354837,775,4608,387.5,11.891612903225807,775,2576,190.36726666667434,13.53173812444592
V3A_4.mat,4,5,1,775,3346,387.5,8.63483870967742,775,5793,387.5,14.949677419354838,775,4785,190.36726666667434,25.13562380647272
V3A_4.mat,5,6,0,775,5231,387.5,13.499354838709678,775,5859,387.5,15.12,775,4473,190.36726666667434,23.49668658021995
V3A_4.mat,6,7,0,775,5966,387.5,15.396129032258065,775,6717,387.5,17.3341935483871,775,5014,190.36726666667434,26.338561706510806
V3A_4.mat,7,8,0,775,3334,387.5,8.603870967741935,775,4396,387.5,11.344516129032257,775,1240,190.36726666667434,6.5137248735686875
V3A_4.mat,8,8,1,775,2055,387.5,5.303225806451613,775,2584,387.5,6.668387096774193,775,1878,190.36726666667434,9.865141381098384
V3A_4.mat,9,8,2,775,2384,387.5,6.152258064516129,775,2487,387.5,6.418064516129032,775,1392,190.36726666667434,7.312181470973882
